Country,Median Age (Years)
Afghanistan,20
Albania,36.3
Algeria,29.1
Andorra,48.8
Angola,16.3
Antigua and Barbuda,33.9
Argentina,33.3
Armenia,38.9
Australia,38.1
Austria,44.9
Azerbaijan,34.3
Bahamas,30.7
Bahrain,33.4
Bangladesh,29.6
Barbados,41.4
Belarus,42.1
Belgium,42
Belize,26.8
Benin,17.2
Bhutan,30.7
Bolivia,26.6
Bosnia and Herzegovina,44.8
Botswana,27.1
Brazil,35.1
Brunei,32.3
Bulgaria,45.1
Burkina Faso,18.7
Burundi,18.4
Cabo Verde,28.8
Cambodia,27.9
Cameroon,18.9
Canada,42.6
Central African Republic,20.4
Chad,16.7
Chile,36.9
China,40.2
Colombia,32.7
Comoros,22.7
Congo (Brazzaville),20.7
Congo (Kinshasa),16.9
Costa Rica,35.5
Croatia,45.1
Cuba,42.6
Cyprus,39.5
Czechia,44.2
Denmark,42.2
Djibouti,26.3
Dominica,37
Dominican Republic,29.2
Ecuador,28
Egypt,24.4
El Salvador,29.7
Equatorial Guinea,22.1
Eritrea,21.3
Estonia,45
Eswatini,24.6
Ethiopia,20.4
Fiji,31.6
Finland,43.3
France,42.6
Gabon,22
Gambia,20.2
Georgia,38.3
Germany,46.8
Ghana,21.4
Greece,46.5
Grenada,35.4
Guatemala,24.8
Guinea,19.4
Guinea-Bissau,18.4
Guyana,28.3
Hdon,25
Honduras,25.7
Holy See,Not found
Hong Kong,47.2
Hungary,44.8
Iceland,38
India,29.8
Indonesia,31.5
Iran,33.8
Iraq,22.4
Ireland,40.2
Israel,30.1
Italy,48.4
Jamaica,30.9
Japan,49.9
Jordan,25
Kazakhstan,31.9
Kenya,21.2
Kiribati,27.3
Kosovo,32
Kuwait,30.3
Kyrgyzstan,28.3
Laos,25.4
Latvia,45.5
Lebanon,36.3
Lesotho,23.9
Liberia,19.9
Libya,26.2
Liechtenstein,44.2
Lithuania,45.1
Luxembourg,39.9
Madagascar,21.3
Malawi,20.3
Malaysia,31.8
Maldives,31.9
Mali,16.4
Malta,43.5
Marshall Islands,25.5
Mauritania,22.1
Mauritius,39.6
Mexico,30.8
Micronesia,28.2
Moldova,39.9
Monaco,56.9
Mongolia,31.5
Montenegro,41.1
Morocco,30.6
Mozambique,17.3
Myanmar,30.8
Namibia,22.8
Nauru,27.8
Nepal,27.6
Netherlands,42.2
New Zealand,37.9
Nicaragua,29
Niger,15.2
Nigeria,19.3
North Korea,35.9
North Macedonia,40.5
Norway,40.8
Oman,27.3
Pakistan,22.9
Palau,35.3
Palestine,21.9
Panama,31.5
Papua New Guinea,21.7
Paraguay,31.8
Peru,30.2
Philippines,25.7
Poland,42.9
Portugal,46.4
Qatar,34.3
Romania,45.5
Russia,41.9
Rwanda,20.8
Saint Kitts and Nevis,38.6
Saint Lucia,39.7
Saint Vincent and the Grenadines,37.6
Samoa,27.4
San Marino,46.1
Sao Tome and Principe,20.8
Saudi Arabia,32.4
Senegal,19.2
Serbia,43.9
Seychelles,38.7
Sierra Leone,19.4
Singapore,39.4
Slovakia,42.8
Slovenia,46.3
Solomon Islands,25.2
Somalia,19.1
South Africa,30.4
South Korea,45.5
South Sudan,18.7
Spain,46.8
Sri Lanka,34.1
Sudan,19.3
Suriname,32
Sweden,41.1
Switzerland,44.2
Syria,24.1
Taiwan,44.6
Tajikistan,22.8
Tanzania,19.1
Thailand,41.5
Timor-Leste,20.6
Togo,20.7
Tonga,25.9
Trinidad and Tobago,38.5
Tunisia,34.4
Turkey,34
Turkmenistan,31.2
Tuvalu,27.8
Uganda,16.2
Ukraine,44.9
United Arab Emirates,35.8
United Kingdom,40.8
United States,38.9
Uruguay,36.5
Uzbekistan,28.9
Vanuatu,24.6
Venezuela,31
Vietnam,33.1
Yemen,22
Zambia,18.4
Zimbabwe,21.2
